0,GearTorque_1,GearTorque_2,GearTorque_3,GearTorque_4,GearTorque_5,GearTorque_6,Joints_1,Joints_2,Joints_3,Joints_4,Joints_5,Joints_6,RobotPositions_1,RobotPositions_2,RobotPositions_3,RobotPositions_4,RobotPositions_5,RobotPositions_6,MeasuredPositionsLeica_1,MeasuredPositionsLeica_2,MeasuredPositionsLeica_3,MeasuredPositionsLeica_4,MeasuredPositionsLeica_5,MeasuredPositionsLeica_6
36,0.0,0.0,0.0,0.0,0.0,0.0,105.812706,-51.709187,67.27235,19.118385,23.550781,-30.619272,-872.1499121093751,-2778.7065637207024,1169.7288360595703,-111.06475006103516,7.416962120532827,174.48117439270015,-1160.1774948163388,1758.3589652049411,92.94357444006164,-179.84895966610353,-7.618701311599092,-53.29023973913232
37,0.0,0.0,0.0,0.0,0.0,0.0,113.52255,-44.747875,54.789593,-48.372658,54.922188,55.81437,-872.4901736450192,-2778.66437133789,1170.0607958984372,-61.68458162307744,9.006365656852676,-177.99713912963875,-1031.2106989638282,1805.433997832932,71.61458126202766,-130.42168932566074,-9.667524956001191,-60.93297956299045
38,0.0,0.0,0.0,0.0,0.0,0.0,112.18872,-51.38476,86.82303,-147.00163,45.06737,141.4256,-872.6319354248047,-2778.562322998048,1169.822947387696,-87.45347232818597,-34.617464752197506,177.10988197326662,-1281.1824684742592,1678.7962382348808,24.503514108376457,-156.51275849654792,34.19877344598898,-57.81377017028116
39,0.0,0.0,0.0,0.0,0.0,0.0,107.32582,-35.545567,32.831608,-3.7347007,72.45451,4.5096836,-872.3239730834958,-2778.906376953125,1169.9703936767578,-91.00943466186553,39.16644487380966,176.93892555236778,-970.7585647470754,1820.5682363938236,33.315089607277464,-160.5928372137873,-39.50840028386151,-54.15181857078153
40,0.0,0.0,0.0,0.0,0.0,0.0,114.6632,-47.316574,62.874527,-59.017372,40.408787,29.10091,-872.4878982543945,-2778.684816894532,1170.1575402832025,-89.28957267761243,4.945648598670601,-152.32232757568366,-1074.6353441645083,1638.8801791066244,-29.886698286283053,-157.64926564358657,-6.489408961025964,-86.64783584227936
41,0.0,0.0,0.0,0.0,0.0,0.0,108.23791,-52.919197,70.531395,-27.349957,19.219685,33.222046,-872.2650549316404,-2778.723594970703,1169.9126605224612,-89.28892379760771,4.952010815143578,167.37806114196778,-1136.818230550674,1807.336960757568,108.12621613246785,-158.0163255626782,-4.962739660011581,-46.37483793030724
42,0.0,0.0,0.0,0.0,0.0,0.0,114.57332,-40.498665,33.105347,-25.9762,48.153755,20.032925,-1158.4045111083983,-2929.0843188476565,1513.490501098633,-89.27869922637952,4.944867627620589,178.39271286010745,-861.8169751307114,1552.9109590045025,427.3333722266887,-158.0270684349714,-5.40062859767259,-57.36821738379235
43,0.0,0.0,0.0,0.0,0.0,0.0,114.04516,-41.308823,34.58101,-22.273287,45.754375,15.651187,-1158.336600952148,-2929.08,1513.4610986328128,-92.73572689056392,4.841686353683505,178.09961441040048,-871.5580411374762,1550.3964166039898,428.1157901584143,-161.480821656926,-5.278543367206011,-57.070143631872085
44,0.0,0.0,0.0,0.0,0.0,0.0,116.89187,-33.35263,19.983263,-38.941635,64.41485,34.767876,-1158.566325683594,-2929.018244628908,1513.5728851318356,-71.90478496551509,5.196263668537123,179.9474142456055,-816.6174846645458,1574.9846606751858,422.94392530000187,-140.63618161299286,-5.768640371398108,-58.97697299462682
45,0.0,0.0,0.0,0.0,0.0,0.0,114.80467,-43.756554,40.786877,-32.13723,39.274963,25.480312,-1158.342091674804,-2929.0522839355463,1513.477274780273,-90.33322834014896,-0.6981091412902546,178.2948547363281,-890.7983515634844,1540.8956390009264,426.8915004541592,-159.04607947789498,0.2475021599388615,-57.488834111636855
